,0
Start,2020-11-02 01:00:00
End,2025-10-31 05:00:00
Period,1231 days 02:00:00
Start Value,100000.0
End Value,100000.0
Total Return [%],0.0
Benchmark Return [%],112.90454906264102
Max Gross Exposure [%],0.0
Total Fees Paid,0.0
Max Drawdown [%],
Max Drawdown Duration,
Total Trades,0
Total Closed Trades,0
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,inf
Calmar Ratio,
Omega Ratio,inf
Sortino Ratio,inf
