Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price.1	Commission	Taxes	Swap	Profit
280954787	2025.11.04 14:33	0	0.01	XAUUSD	3938.0130000000004	0.0	0.0	2025.11.04 14:33	3938.193	0.0	0.0	0.0	0.18
281114272	2025.11.04 17:27	0	0.01	XAUUSD	3937.1130000000003	0.0	0.0	2025.11.04 17:54	3935.531	0.0	0.0	0.0	-1.58
281139473	2025.11.04 17:51	0	0.01	XAUUSD	3935.1730000000002	0.0	0.0	2025.11.04 17:54	3935.531	0.0	0.0	0.0	0.36
281140465	2025.11.04 17:52	0	0.01	XAUUSD	3936.186	0.0	0.0	2025.11.04 17:54	3935.531	0.0	0.0	0.0	-0.66
281140768	2025.11.04 17:52	0	0.01	XAUUSD	3936.9390000000003	0.0	0.0	2025.11.04 17:54	3935.531	0.0	0.0	0.0	-1.41
281201656	2025.11.04 18:34	0	0.01	XAUUSD	3936.503	0.0	0.0	2025.11.04 18:34	3936.807	0.0	0.0	0.0	0.31
281201998	2025.11.04 18:35	0	0.01	XAUUSD	3937.56	0.0	0.0	2025.11.04 18:36	3936.55	0.0	0.0	0.0	-1.01
282780726	2025.11.05 20:52	0	0.01	XAUUSD	3982.838	0.0	0.0	2025.11.05 20:52	3982.659	0.0	0.0	0.0	-0.18
282781326	2025.11.05 20:53	0	0.01	XAUUSD	3983.529	0.0	0.0	2025.11.05 20:53	3983.224	0.0	0.0	0.0	-0.31
282781872	2025.11.05 20:54	0	0.01	XAUUSD	3982.9100000000003	0.0	0.0	2025.11.05 20:54	3983.297	0.0	0.0	0.0	0.39
282782213	2025.11.05 20:54	0	0.01	XAUUSD	3983.464	0.0	0.0	2025.11.05 20:54	3983.051	0.0	0.0	0.0	-0.41
282782682	2025.11.05 20:55	0	0.01	XAUUSD	3982.839	0.0	0.0	2025.11.05 20:57	3983.398	0.0	0.0	0.0	0.56
282977621	2025.11.06 01:15	0	3.0	XAUUSD	3999.4	0.0	0.0	2025.11.06 01:15	3999.5260000000003	0.0	0.0	0.0	37.8
283539768	2025.11.06 10:38	1	0.01	XAUUSD	3980.716	0.0	0.0	2025.11.06 23:58	3995.661	0.0	0.0	0.0	-14.94
284982466	2025.11.07 11:01	1	0.01	XAUUSD	4007.246	0.0	0.0	2025.11.07 11:10	4000.532	0.0	0.0	0.0	6.72
285000303	2025.11.07 11:11	1	0.01	XAUUSD	3999.76	0.0	0.0	2025.11.07 11:28	3997.1150000000002	0.0	0.0	0.0	2.64
285026845	2025.11.07 11:29	1	0.01	XAUUSD	3997.42	0.0	0.0	2025.11.07 11:29	3997.812	0.0	0.0	0.0	-0.39
285032876	2025.11.07 11:34	1	0.01	XAUUSD	3994.427	0.0	0.0	2025.11.07 11:34	3994.432	0.0	0.0	0.0	0.0
285034801	2025.11.07 11:36	1	0.01	XAUUSD	3996.573	0.0	0.0	2025.11.07 11:36	3996.273	0.0	0.0	0.0	0.3
285036145	2025.11.07 11:37	1	0.01	XAUUSD	3996.962	0.0	0.0	2025.11.07 11:38	3996.837	0.0	0.0	0.0	0.12
285042503	2025.11.07 11:43	1	0.01	XAUUSD	3998.357	0.0	0.0	2025.11.07 11:43	3998.345	0.0	0.0	0.0	0.01
285046579	2025.11.07 11:47	1	0.01	XAUUSD	4000.4990000000003	0.0	0.0	2025.11.07 11:47	4000.725	0.0	0.0	0.0	-0.23
285047238	2025.11.07 11:48	1	0.01	XAUUSD	3999.788	0.0	0.0	2025.11.07 11:48	3999.887	0.0	0.0	0.0	-0.1
